job_id,company,role,source,fit_score,discipline_flag,status,date_found,apply_link
3159dd85950f,TELUS Digital,Quality Assurance Rater - German (Germany),remotive,1,not a physical-design role; stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-07,https://remotive.com/remote-jobs/all-others/quality-assurance-rater-german-germany-2090988
68c13ba2aaf2,Lemon.io,Senior Data Scientist,remotive,1,not a physical-design role; stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-07,https://remotive.com/remote-jobs/data/senior-data-scientist-2090982
b765baf6c770,FSE LLC,High-Ticket Financial Sales Specialist & Team Lead Track,remotive,1,not a physical-design role; stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-07,https://remotive.com/remote-jobs/sales/high-ticket-financial-sales-specialist-team-lead-track-2090949
a5fd2bb21063,Coalition Technologies ,Remote Office Assistant,remotive,3,not a physical-design role; remote — confirm India-eligible,found,2026-07-10,https://remotive.com/remote-jobs/marketing/remote-office-assistant-1680495
cb12057572bd,TELUS Digital,Online Data Analyst Canada,remotive,2,not a physical-design role; internship (out of scope — full-time only); location unclear,found,2026-07-10,https://remotive.com/remote-jobs/all-others/online-data-analyst-canada-2091047
8095bab536e0,Tribe Wellness,Product Sales Specialist - Pet Health,remotive,1,not a physical-design role; stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-10,https://remotive.com/remote-jobs/sales/product-sales-specialist-pet-health-2091048
eef4cb927375,Unio Digital,Tier III Service Desk Engineer,remotive,1,not a physical-design role; stretch (senior/3+ yr); location unclear,found,2026-07-10,https://remotive.com/remote-jobs/information-technology/tier-iii-service-desk-engineer-2091045
9686624092d1,Coalition Technologies ,Freelance Copywriter,remotive,1,not a physical-design role; stretch (senior/3+ yr); location unclear,found,2026-07-10,https://remotive.com/remote-jobs/writing/freelance-copywriter-1749306
c944a537e5c6,LawnStarter,"Staff Software Engineer, Product (Belo Horizonte)",remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-12,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-belo-horizonte-2091056
b32c47d5ef55,LawnStarter,"Staff Software Engineer, Product (Montevideo)",remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-12,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-montevideo-2091058
b922bbbbbafa,LawnStarter,"Staff Software Engineer, Product (São Paulo)",remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-12,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-sao-paulo-2091055
073f192c2b50,LawnStarter,"Staff Software Engineer, Product (Mexico City)",remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-12,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-mexico-city-2091050
f4b7148ec76f,LawnStarter,"Staff Software Engineer, Product (Campinas)",remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-12,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-campinas-2091049
690b02a44677,LawnStarter,"Staff Software Engineer, Product (Florianópolis)",remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-12,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-florianopolis-2091059
b478c08405f9,LawnStarter,Staff Product Engineer (Mexico City),remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-12,https://remotive.com/remote-jobs/product/staff-product-engineer-mexico-city-2091057
e3943fdbb68d,LawnStarter,Staff Product Engineer (Montevideo),remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-12,https://remotive.com/remote-jobs/product/staff-product-engineer-montevideo-2091054
274586b0f037,LawnStarter,Staff Product Engineer (Campinas),remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-12,https://remotive.com/remote-jobs/product/staff-product-engineer-campinas-2091053
a04b333673b0,LawnStarter,Staff Product Engineer (Belo Horizonte),remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-12,https://remotive.com/remote-jobs/product/staff-product-engineer-belo-horizonte-2091052
95b3f35ebb3d,LawnStarter,Staff Product Engineer (Florianópolis),remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-12,https://remotive.com/remote-jobs/product/staff-product-engineer-florianopolis-2091051
cc4465320d24,LooseGrip,Junior Designer (Part-Time Contract),weworkremotely,6,"likely mismatch (UI/UX or software design); remote — confirm India-eligible; DISCIPLINE DRIFT — high only via UI/UX, likely wrong career",packet-ready,2026-07-15,https://weworkremotely.com/remote-jobs/loosegrip-junior-designer-part-time-contract
f359cb3912b4,Clipster,Senior Product Engineer (Fullstack),remotive,2,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-15,https://remotive.com/remote-jobs/software-development/senior-product-engineer-fullstack-2091062
524394b66177,TE Connectivity,Staff Mechanical Product Development Engineer- Integrated Predictive Analysis,weworkremotely,5,stretch (senior/3+ yr); location unclear,packet-ready,2026-07-16,https://weworkremotely.com/remote-jobs/te-connectivity-staff-mechanical-product-development-engineer-integrated-predictive-analysis
626a73f3c961,Viking Pump Hygienic,Commodity Manager,weworkremotely,4,not a physical-design role; remote — confirm India-eligible,found,2026-07-16,https://weworkremotely.com/remote-jobs/viking-pump-hygienic-commodity-manager
1903cabe4cab,JLL,Strategic Sourcing Specialist,weworkremotely,3,internship (out of scope — full-time only); location unclear,found,2026-07-16,https://weworkremotely.com/remote-jobs/jll-strategic-sourcing-specialist
d67c812df31b,JLL,Occupancy Planner EMEA,weworkremotely,3,stretch (senior/3+ yr); requires software you don't list: autocad; remote — confirm India-eligible,found,2026-07-16,https://weworkremotely.com/remote-jobs/jll-occupancy-planner-emea
0e10825e53a6,Innovapptive,Solution Consulting Lead,weworkremotely,2,not a physical-design role; stretch (senior/3+ yr),found,2026-07-16,https://weworkremotely.com/remote-jobs/innovapptive-solution-consulting-lead
2e6e718d0a21,Jobgether,Senior Mobile UX Designer,weworkremotely,5,design-adjacent AI; stretch (senior/3+ yr); location unclear,packet-ready,2026-07-17,https://weworkremotely.com/remote-jobs/jobgether-senior-mobile-ux-designer
c60f4b4a7192,Anthropic,"Safeguards Enforcement Analyst, Age-Appropriate Design",weworkremotely,4,stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-17,https://weworkremotely.com/remote-jobs/anthropic-safeguards-enforcement-analyst-age-appropriate-design
05e46fbb2fa1,TE Connectivity,"PRODUCT MANAGER IV (Remote - Seattle, WA)",weworkremotely,4,likely mismatch (UI/UX or software design); remote — confirm India-eligible,found,2026-07-17,https://weworkremotely.com/remote-jobs/te-connectivity-product-manager-iv-remote-seattle-wa
8540424b7cd8,Astreya,AI Infrastructure DC Design Engineer II,weworkremotely,4,requires software you don't list: autocad; remote — confirm India-eligible,found,2026-07-17,https://weworkremotely.com/remote-jobs/astreya-ai-infrastructure-dc-design-engineer-ii
8eeec0b9c5b7,TE Connectivity,PRODUCT MANAGER III (Remote),weworkremotely,2,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-17,https://weworkremotely.com/remote-jobs/te-connectivity-product-manager-iii-remote
42c2c70a4646,TE Connectivity,Sr R&D/Product Dvl Engineer,weworkremotely,2,not a physical-design role; stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-17,https://weworkremotely.com/remote-jobs/te-connectivity-sr-r-d-product-dvl-engineer
46f874acdb80,Lemon.io,Senior DevOps Engineer,remotive,2,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-17,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2091067
fd0607214f45,TELUS Digital,Online Data Analyst Canada (French Language) (C),remotive,2,not a physical-design role; internship (out of scope — full-time only); location unclear,found,2026-07-17,https://remotive.com/remote-jobs/all-others/online-data-analyst-canada-french-language-c-2091047
3f3319e87f4e,Education Sub Saharan Africa,Consultancy: Design and Implementation of ACSL Impact Studies,weworkremotely,1,not a physical-design role; stretch (senior/3+ yr); location unclear,found,2026-07-17,https://weworkremotely.com/remote-jobs/education-sub-saharan-africa-consultancy-design-and-implementation-of-acsl-impact-studies
a8262514663f,TE Connectivity,"AI Business Acceleration Manager (Remote - Harrisburg, PA area)",weworkremotely,1,not a physical-design role; stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-17,https://weworkremotely.com/remote-jobs/te-connectivity-ai-business-acceleration-manager-remote-harrisburg-pa-area
6c06f89a2b39,Workada,Data Labeling Specialists,remotive,1,not a physical-design role; internship (out of scope — full-time only); location unclear,found,2026-07-17,https://remotive.com/remote-jobs/data/data-labeling-specialists-2090903
